aereo,ac_id,D,date,time,time_sec
AA66946474,DLH417,EDDF,2017-08-17,03:02:23,10943
AA66946587,DLH401,EDDF,2017-08-17,03:03:58,11038
AA66925954,IMX112,EDDF,2017-08-17,03:07:57,11277
AA66939089,DLH797,EDDF,2017-08-17,03:08:04,11284
AA66951681,ABR6TR,EDDF,2017-08-17,03:11:34,11494
AA66947618,DLH595,EDDF,2017-08-17,03:12:10,11530
AA66945631,GEC8473,EDDF,2017-08-17,03:15:29,11729
AA66941980,DLH573,EDDF,2017-08-17,03:18:20,11900
AA66947091,DLH423,EDDF,2017-08-17,03:19:56,11996
AA66952930,BCS126,EDDF,2017-08-17,03:22:23,12143
AA66944862,DLH443,EDDF,2017-08-17,03:23:24,12204
AA66946975,ETH706,EDDF,2017-08-17,03:25:06,12306
AA66941546,CFG2053,EDDF,2017-08-17,03:28:13,12493
AA66944150,DLH591,EDDF,2017-08-17,03:29:19,12559
AA66940352,DLH1327,EDDF,2017-08-17,03:31:59,12719
AA66949310,THY6403,EDDF,2017-08-17,03:33:07,12787
AA66946028,UAL944,EDDF,2017-08-17,03:34:35,12875
AA66941010,DLH773,EDDF,2017-08-17,03:36:19,12979
AA66952881,BCS128,EDDF,2017-08-17,03:38:17,13097
AA66942011,DLH623,EDDF,2017-08-17,03:39:43,13183
AA66940281,DLH1319,EDDF,2017-08-17,03:41:52,13312
AA66941444,ANA203,EDDF,2017-08-17,03:43:06,13386
AA66950168,ACA872,EDDF,2017-08-17,03:44:32,13472
AA66941009,DLH631,EDDF,2017-08-17,03:47:04,13624
AA66949791,DLH601,EDDF,2017-08-17,03:48:23,13703
AA66939575,DLH1331,EDDF,2017-08-17,03:51:47,13907
AA66950771,THY1EX,EDDF,2017-08-17,03:53:26,14006
AA66939736,CES219,EDDF,2017-08-17,04:00:11,14411
AA66941854,DLH633,EDDF,2017-08-17,04:02:53,14573
AA66942884,CCA965,EDDF,2017-08-17,04:04:44,14684
AA66948444,DLH569,EDDF,2017-08-17,04:07:01,14821
AA66941075,DLH779,EDDF,2017-08-17,04:08:43,14923
AA66914158,HVN31,EDDF,2017-08-17,04:11:20,15080
AA66941506,CSN331,EDDF,2017-08-17,04:17:02,15422
AA66945840,UAL989,EDDF,2017-08-17,04:23:16,15796
AA66941375,SIA26,EDDF,2017-08-17,04:26:48,16008
AA66947277,OMA115,EDDF,2017-08-17,04:32:11,16331
AA66940076,THA920,EDDF,2017-08-17,04:35:02,16502
AA66950849,ETD1,EDDF,2017-08-17,04:38:31,16711
AA66939852,DLH143,EDDF,2017-08-17,04:40:57,16857
AA66948667,DLH445,EDDF,2017-08-17,04:42:38,16958
AA66950568,DLH073,EDDF,2017-08-17,04:43:22,17002
AA66947023,QTR85C,EDDF,2017-08-17,04:44:37,17077
AA66948788,DLH479,EDDF,2017-08-17,04:44:51,17091
AA66940863,CPA289,EDDF,2017-08-17,04:47:16,17236
AA66949131,AAL704,EDDF,2017-08-17,04:47:20,17240
AA66942496,DLH371,EDDF,2017-08-17,04:49:59,17399
AA66939738,DLH7P,EDDF,2017-08-17,04:51:36,17496
AA66943516,DLH635,EDDF,2017-08-17,04:51:45,17505
AA66943936,SAA260,EDDF,2017-08-17,04:52:53,17573
AA66942403,DLH52K,EDDF,2017-08-17,04:53:49,17629
AA66940280,DLH5NC,EDDF,2017-08-17,04:55:41,17741
AA66950258,GFA017,EDDF,2017-08-17,04:57:34,17854
AA66949123,DLH403,EDDF,2017-08-17,04:58:08,17888
AA66940107,DLH7EK,EDDF,2017-08-17,04:58:41,17921
AA66939998,DLH5RJ,EDDF,2017-08-17,05:01:36,18096
AA66942445,DLH3KV,EDDF,2017-08-17,05:03:50,18230
AA66948673,DLH647,EDDF,2017-08-17,05:06:21,18381
AA66942555,AUA251,EDDF,2017-08-17,05:06:48,18408
AA66944955,DLH8FM,EDDF,2017-08-17,05:08:48,18528
AA66938992,DLH889,EDDF,2017-08-17,05:09:10,18550
AA66939762,DLH1FL,EDDF,2017-08-17,05:11:02,18662
AA66940480,DLH351,EDDF,2017-08-17,05:12:52,18772
AA66946467,ACA840,EDDF,2017-08-17,05:12:52,18772
AA66943957,DLH2V,EDDF,2017-08-17,05:14:23,18863
AA66953108,DLH693,EDDF,2017-08-17,05:15:47,18947
AA66949424,DLH431,EDDF,2017-08-17,05:17:02,19022
AA66943965,DLH4J,EDDF,2017-08-17,05:18:53,19133
AA66942805,DLH7WT,EDDF,2017-08-17,05:19:59,19199
AA66942513,DLH2LX,EDDF,2017-08-17,05:20:54,19254
AA66940172,DLH1VR,EDDF,2017-08-17,05:22:27,19347
AA66942597,DLH1EJ,EDDF,2017-08-17,05:23:09,19389
AA66940040,DLH1UP,EDDF,2017-08-17,05:24:09,19449
AA66943046,AUA277,EDDF,2017-08-17,05:25:19,19519
AA66947592,DLH427,EDDF,2017-08-17,05:25:46,19546
AA66938863,DLH1489,EDDF,2017-08-17,05:28:37,19717
AA66947858,DLH757,EDDF,2017-08-17,05:28:54,19734
AA66939217,DLH893,EDDF,2017-08-17,05:29:37,19777
AA66938844,DLH885,EDDF,2017-08-17,05:31:24,19884
AA66940894,DLH049,EDDF,2017-08-17,05:32:16,19936
AA66948044,DLH561,EDDF,2017-08-17,05:33:31,20011
AA66942812,DLH3TN,EDDF,2017-08-17,05:34:14,20054
AA66953286,DLH1309,EDDF,2017-08-17,05:35:43,20143
AA66944254,DLH6CH,EDDF,2017-08-17,05:36:21,20181
AA66948583,DLH761,EDDF,2017-08-17,05:36:54,20214
AA66943819,DLH399,EDDF,2017-08-17,05:38:00,20280
AA66940578,CAL061,EDDF,2017-08-17,05:39:19,20359
AA66938446,DLH1439,EDDF,2017-08-17,05:39:46,20386
AA66952062,DLH9AH,EDDF,2017-08-17,05:41:48,20508
AA66944130,DLH599,EDDF,2017-08-17,05:42:16,20536
AA66951130,DLH419,EDDF,2017-08-17,05:43:13,20593
AA66952456,ACA874,EDDF,2017-08-17,05:43:43,20623
AA66944574,DLH3HR,EDDF,2017-08-17,05:46:14,20774
AA66940687,DLH173,EDDF,2017-08-17,05:47:05,20825
AA66949992,DLH463,EDDF,2017-08-17,05:47:28,20848
AA66944710,DLH2NE,EDDF,2017-08-17,05:49:06,20946
AA66946591,SWR105A,EDDF,2017-08-17,05:50:34,21034
AA66939432,DLH855,EDDF,2017-08-17,05:50:46,21046
AA66950630,DLH471,EDDF,2017-08-17,05:51:58,21118
AA66940597,DLH4YX,EDDF,2017-08-17,05:52:49,21169
AA66947028,DLH439,EDDF,2017-08-17,05:54:11,21251
AA66939858,DLH2CF,EDDF,2017-08-17,05:54:23,21263
AA66938718,DLH1451,EDDF,2017-08-17,05:55:50,21350
AA66945141,DLH4W,EDDF,2017-08-17,05:56:40,21400
AA66942892,DLH1305,EDDF,2017-08-17,05:57:39,21459
AA66951673,AAL750,EDDF,2017-08-17,05:58:21,21501
AA66949651,DAL14,EDDF,2017-08-17,06:00:08,21608
AA66945583,IJACK,EDDF,2017-08-17,06:00:22,21622
AA66947093,DLH759,EDDF,2017-08-17,06:01:43,21703
AA66943279,DLH2RM,EDDF,2017-08-17,06:02:30,21750
AA66939599,DLH1493,EDDF,2017-08-17,06:04:01,21841
AA66944609,AUA261,EDDF,2017-08-17,06:04:33,21873
AA66944459,DLH9MC,EDDF,2017-08-17,06:05:40,21940
AA66944021,DLH9XV,EDDF,2017-08-17,06:05:46,21946
AA66949485,DLH441,EDDF,2017-08-17,06:07:16,22036
AA66943119,DLH3PF,EDDF,2017-08-17,06:07:21,22041
AA66940069,DLH809,EDDF,2017-08-17,06:09:11,22151
AA66943224,DLH5LA,EDDF,2017-08-17,06:10:46,22246
AA66943064,DLH2HP,EDDF,2017-08-17,06:10:51,22251
AA66955187,DLH585,EDDF,2017-08-17,06:12:05,22325
AA66948315,CFG415,EDDF,2017-08-17,06:12:21,22341
AA66952333,AZA71G,EDDF,2017-08-17,06:13:39,22419
AA66952428,SAS639,EDDF,2017-08-17,06:14:55,22495
AA66940142,MLD863,EDDF,2017-08-17,06:15:28,22528
AA66953701,DLH613,EDDF,2017-08-17,06:16:13,22573
AA66945296,DLH279,EDDF,2017-08-17,06:16:52,22612
AA66954972,DLH691,EDDF,2017-08-17,06:17:54,22674
AA66949359,CSA4E,EDDF,2017-08-17,06:18:57,22737
AA66946088,NJE825R,EDDF,2017-08-17,06:19:48,22788
AA66944583,DLH23U,EDDF,2017-08-17,06:21:27,22887
AA66944525,AUA121F,EDDF,2017-08-17,06:21:27,22887
AA66943978,DLH54M,EDDF,2017-08-17,06:22:45,22965
AA66944510,DLH7FL,EDDF,2017-08-17,06:22:45,22965
AA66945097,NMB285,EDDF,2017-08-17,06:24:09,23049
AA66941667,DLH8LY,EDDF,2017-08-17,06:24:17,23057
AA66948563,UAE43,EDDF,2017-08-17,06:25:25,23125
AA66941309,DLH8RJ,EDDF,2017-08-17,06:25:51,23151
AA66941000,DLH6KW,EDDF,2017-08-17,06:27:29,23249
AA66917643,ADR6K,EDDF,2017-08-17,06:28:34,23314
AA66951370,DAL86,EDDF,2017-08-17,06:28:53,23333
AA66945024,DLH25T,EDDF,2017-08-17,06:30:28,23428
AA66949415,UAL960,EDDF,2017-08-17,06:30:58,23458
AA66917672,ADR14P,EDDF,2017-08-17,06:31:57,23517
AA66947556,DLH491,EDDF,2017-08-17,06:32:43,23563
AA66949982,AAL70,EDDF,2017-08-17,06:32:53,23573
AA66944883,DLH6JT,EDDF,2017-08-17,06:35:21,23721
AA66953447,AFR15JG,EDDF,2017-08-17,06:37:19,23839
AA66948570,DLH755,EDDF,2017-08-17,06:38:57,23937
AA66941972,DLH3YY,EDDF,2017-08-17,06:41:14,24074
AA66948699,CAO1031,EDDF,2017-08-17,06:41:32,24092
AA66945165,DLH6U,EDDF,2017-08-17,06:43:40,24220
AA66953450,DLH9TY,EDDF,2017-08-17,06:44:05,24245
AA66941392,DLH6PF,EDDF,2017-08-17,06:45:30,24330
AA66944592,DLH66E,EDDF,2017-08-17,06:45:51,24351
AA66945812,DLH84U,EDDF,2017-08-17,06:47:23,24443
AA66945015,DLH3EJ,EDDF,2017-08-17,06:48:31,24511
AA66942298,DLH6LX,EDDF,2017-08-17,06:50:34,24634
AA66951382,DLH37P,EDDF,2017-08-17,06:51:04,24664
AA66946147,DLH8F,EDDF,2017-08-17,06:52:48,24768
AA66942761,DLH2WY,EDDF,2017-08-17,06:55:09,24909
AA66949444,GEC8171,EDDF,2017-08-17,06:55:23,24923
AA66946772,DLH3C,EDDF,2017-08-17,06:57:04,25024
AA66945254,DLH2A,EDDF,2017-08-17,06:57:48,25068
AA66932372,BMR1911,EDDF,2017-08-17,06:59:06,25146
AA66952459,DAL4,EDDF,2017-08-17,06:59:29,25169
AA66944764,DLH81A,EDDF,2017-08-17,07:00:24,25224
AA66942808,DLH051,EDDF,2017-08-17,07:01:40,25300
AA66947195,CPA037,EDDF,2017-08-17,07:02:06,25326
AA66946213,CFG403,EDDF,2017-08-17,07:03:10,25390
AA66944237,DLH8NK,EDDF,2017-08-17,07:05:17,25517
AA66951271,DLH1313,EDDF,2017-08-17,07:05:24,25524
AA66946937,GEC8231,EDDF,2017-08-17,07:06:21,25581
AA66942801,DLH5CN,EDDF,2017-08-17,07:06:52,25612
AA66952217,DLH4KV,EDDF,2017-08-17,07:08:18,25698
AA66945318,DLH9EK,EDDF,2017-08-17,07:08:50,25730
AA66954065,DLH6MA,EDDF,2017-08-17,07:10:24,25824
AA66957401,KLM1763,EDDF,2017-08-17,07:13:28,26008
AA66956877,SXS3TK,EDDF,2017-08-17,07:16:17,26177
AA66956892,CTN410,EDDF,2017-08-17,07:18:01,26281
AA66965784,ABW305,EDDF,2017-08-17,07:18:28,26308
AA66944329,DLH353,EDDF,2017-08-17,07:19:37,26377
AA66954672,FIN4PT,EDDF,2017-08-17,07:21:11,26471
AA66943928,CFG115,EDDF,2017-08-17,07:22:38,26558
AA66945162,AUA133,EDDF,2017-08-17,07:24:47,26687
AA66953831,UZB231,EDDF,2017-08-17,07:25:08,26708
AA66952405,AEA1503,EDDF,2017-08-17,07:27:17,26837
AA66957311,LOT3KF,EDDF,2017-08-17,07:28:53,26933
AA66953969,ELY357,EDDF,2017-08-17,07:29:00,26940
AA66956868,CTN27D,EDDF,2017-08-17,07:31:10,27070
AA66945025,DLH77Y,EDDF,2017-08-17,07:31:57,27117
AA66945363,UAL58,EDDF,2017-08-17,07:33:04,27184
AA66943211,DLH3VR,EDDF,2017-08-17,07:37:02,27422
AA66947216,TUI5CM,EDDF,2017-08-17,07:39:09,27549
AA66952245,NJE407P,EDDF,2017-08-17,07:41:00,27660
AA66951696,EIN6EE,EDDF,2017-08-17,07:42:23,27743
AA66949970,BAW902N,EDDF,2017-08-17,07:43:38,27818
AA66955064,DLH8WT,EDDF,2017-08-17,07:46:29,27989
AA66949603,UAL907,EDDF,2017-08-17,07:47:12,28032
AA66939825,DLH733,EDDF,2017-08-17,07:48:42,28122
AA66956965,THY1587,EDDF,2017-08-17,07:51:52,28312
AA66951836,BER6577,EDDF,2017-08-17,07:52:47,28367
AA66947054,DLH25M,EDDF,2017-08-17,07:53:40,28420
AA66951747,SIA25,EDDF,2017-08-17,07:54:26,28466
AA66945265,DLH9H,EDDF,2017-08-17,07:55:28,28528
AA66950729,ROT301Z,EDDF,2017-08-17,07:57:15,28635
AA66943515,DLH8HP,EDDF,2017-08-17,07:59:20,28760
AA66933404,MEA217,EDDF,2017-08-17,08:01:43,28903
AA66955197,DLH1W,EDDF,2017-08-17,08:03:32,29012
AA66943519,CFG1809,EDDF,2017-08-17,08:06:10,29170
AA66960800,AFL2306,EDDF,2017-08-17,08:09:18,29358
AA66944088,DLH011,EDDF,2017-08-17,08:15:39,29739
AA66955355,DLH7V,EDDF,2017-08-17,08:16:48,29808
AA66951444,CFE16A,EDDF,2017-08-17,08:17:31,29851
AA66952967,DLH465,EDDF,2017-08-17,08:18:11,29891
AA66945395,DLH949,EDDF,2017-08-17,08:19:32,29972
AA66947356,CFG075,EDDF,2017-08-17,08:21:35,30095
AA66944949,DLH1C,EDDF,2017-08-17,08:24:25,30265
AA66948405,UAL46,EDDF,2017-08-17,08:25:47,30347
AA66946666,DLH507,EDDF,2017-08-17,08:25:58,30358
AA66944295,DLH4AC,EDDF,2017-08-17,08:29:01,30541
AA66954835,AZA400,EDDF,2017-08-17,08:30:31,30631
AA66954673,ACA838,EDDF,2017-08-17,08:32:04,30724
AA66950232,TAP578G,EDDF,2017-08-17,08:35:50,30950
AA66957714,SXS9MB,EDDF,2017-08-17,08:37:37,31057
AA66944383,DLH9JT,EDDF,2017-08-17,08:38:33,31113
AA66954766,DLH421,EDDF,2017-08-17,08:39:49,31189
AA66956287,DLH5K,EDDF,2017-08-17,08:41:44,31304
AA66955693,DLH4TN,EDDF,2017-08-17,08:42:30,31350
AA66944149,AEE13,EDDF,2017-08-17,08:44:05,31445
AA66956263,DLH3FL,EDDF,2017-08-17,08:46:06,31566
AA66947166,DLH71J,EDDF,2017-08-17,08:47:40,31660
AA66945047,DLH3Y,EDDF,2017-08-17,08:48:27,31707
AA66957130,DLH1RM,EDDF,2017-08-17,08:49:37,31777
AA66944959,DLH373,EDDF,2017-08-17,08:51:03,31863
AA66951546,BAW906N,EDDF,2017-08-17,08:51:21,31881
AA66948943,DLH455,EDDF,2017-08-17,08:52:38,31958
AA66944970,DLH6KV,EDDF,2017-08-17,08:53:38,32018
AA66947215,NJE965N,EDDF,2017-08-17,08:55:34,32134
AA66957100,CTN416,EDDF,2017-08-17,08:55:39,32139
AA66954167,DLH405,EDDF,2017-08-17,08:56:44,32204
AA66959992,KLM1765,EDDF,2017-08-17,08:56:53,32213
AA66955348,SAS635,EDDF,2017-08-17,08:58:13,32293
AA66945719,DLH511,EDDF,2017-08-17,08:58:27,32307
AA66943991,ANE8614,EDDF,2017-08-17,09:00:23,32423
AA66950073,CFG7FL,EDDF,2017-08-17,09:01:53,32513
AA66946805,DLH35E,EDDF,2017-08-17,09:01:54,32514
AA66955882,SAS4755,EDDF,2017-08-17,09:03:35,32615
AA66939668,AFR161X,EDDF,2017-08-17,09:05:22,32722
AA66952627,DLH447,EDDF,2017-08-17,09:06:51,32811
AA66957282,ACA876,EDDF,2017-08-17,09:09:11,32951
AA66952586,ACA844,EDDF,2017-08-17,09:09:47,32987
AA66958169,DLH8CH,EDDF,2017-08-17,09:11:47,33107
AA66953457,UAL932,EDDF,2017-08-17,09:12:16,33136
AA66945093,DLH161,EDDF,2017-08-17,09:14:32,33272
AA66945273,DLH2U,EDDF,2017-08-17,09:15:10,33310
AA66950750,DLH489,EDDF,2017-08-17,09:16:45,33405
AA66949995,DLH493,EDDF,2017-08-17,09:17:00,33420
AA66945255,DLH7A,EDDF,2017-08-17,09:19:10,33550
AA66945237,DLH1WT,EDDF,2017-08-17,09:20:02,33602
AA66945748,DLH393,EDDF,2017-08-17,09:20:54,33654
AA66959478,DLH695,EDDF,2017-08-17,09:22:18,33738
AA66945174,DLH263,EDDF,2017-08-17,09:22:21,33741
AA66956821,DLH3HP,EDDF,2017-08-17,09:23:50,33830
AA66947976,AUA19F,EDDF,2017-08-17,09:24:50,33890
AA66945070,DLH825,EDDF,2017-08-17,09:25:23,33923
AA66951286,DLH457,EDDF,2017-08-17,09:26:32,33992
AA66958257,DLH1FN,EDDF,2017-08-17,09:27:11,34031
AA66957581,DLH813,EDDF,2017-08-17,09:29:41,34181
AA66958003,DLH3XV,EDDF,2017-08-17,09:30:21,34221
AA66942503,DLH1453,EDDF,2017-08-17,09:31:33,34293
AA66947808,TUI44H,EDDF,2017-08-17,09:32:11,34331
AA66945747,DLH77E,EDDF,2017-08-17,09:33:29,34409
AA66947726,TUI1HB,EDDF,2017-08-17,09:34:44,34484
AA66944565,DLH6CF,EDDF,2017-08-17,09:34:45,34485
AA66958384,DLH4JV,EDDF,2017-08-17,09:36:54,34614
AA66945199,DLH929,EDDF,2017-08-17,09:37:39,34659
AA66958377,DLH6AE,EDDF,2017-08-17,09:38:58,34738
AA66941963,QAJ950,EDDF,2017-08-17,09:40:44,34844
AA66945334,DLH2EL,EDDF,2017-08-17,09:41:48,34908
AA66959006,DLH2VV,EDDF,2017-08-17,09:42:58,34978
AA66958065,DLH8LX,EDDF,2017-08-17,09:43:19,34999
AA66957998,DLH9F,EDDF,2017-08-17,09:44:51,35091
AA66948844,AUA23P,EDDF,2017-08-17,09:45:13,35113
AA66945655,DLH4EK,EDDF,2017-08-17,09:46:20,35180
AA66938130,JTI170,EDDF,2017-08-17,09:47:29,35249
AA66958140,DLH4MA,EDDF,2017-08-17,09:48:31,35311
AA66945768,DLH2NC,EDDF,2017-08-17,09:48:46,35326
AA66948605,AUA253,EDDF,2017-08-17,09:51:01,35461
AA66958763,DLH6TX,EDDF,2017-08-17,09:52:33,35553
AA66958152,DLH1LY,EDDF,2017-08-17,09:53:33,35613
AA66948606,AUA285,EDDF,2017-08-17,09:55:01,35701
AA66957465,DLH2YX,EDDF,2017-08-17,09:55:02,35702
AA66956949,DLH02J,EDDF,2017-08-17,09:56:28,35788
AA66944668,DLH8EJ,EDDF,2017-08-17,09:56:37,35797
AA66957466,DLH8PF,EDDF,2017-08-17,09:58:36,35916
AA66945319,DLH1AC,EDDF,2017-08-17,09:58:50,35930
AA66958389,DLH6P,EDDF,2017-08-17,10:00:14,36014
AA66953297,WOW760,EDDF,2017-08-17,10:00:20,36020
AA66958162,DLH3WU,EDDF,2017-08-17,10:01:49,36109
AA66959119,DLH7C,EDDF,2017-08-17,10:02:21,36141
AA66959879,GEC8265,EDDF,2017-08-17,10:03:13,36193
AA66958959,DLH19H,EDDF,2017-08-17,10:03:23,36203
AA66958617,DLH6RL,EDDF,2017-08-17,10:04:59,36299
AA66958869,DLH4Y,EDDF,2017-08-17,10:06:10,36370
AA66945875,CSN463,EDDF,2017-08-17,10:07:21,36441
AA66958483,DLH72T,EDDF,2017-08-17,10:07:23,36443
AA66945294,DLH8A,EDDF,2017-08-17,10:09:03,36543
AA66958184,DLH5UP,EDDF,2017-08-17,10:10:13,36613
AA66958266,DLH73K,EDDF,2017-08-17,10:11:06,36666
AA66958786,DLH9EM,EDDF,2017-08-17,10:12:14,36734
AA66945337,DLH2K,EDDF,2017-08-17,10:14:23,36863
AA66945288,DLH5H,EDDF,2017-08-17,10:14:27,36867
AA66945746,DLH1KX,EDDF,2017-08-17,10:16:25,36985
AA66952858,TAP574R,EDDF,2017-08-17,10:18:00,37080
AA66969056,NLY130P,EDDF,2017-08-17,10:18:16,37096
AA66952929,CFG1DA,EDDF,2017-08-17,10:20:10,37210
AA66966063,CSN8705,EDDF,2017-08-17,10:22:53,37373
AA66964591,AFL2300,EDDF,2017-08-17,10:23:52,37432
AA66945918,DLH5TN,EDDF,2017-08-17,10:25:35,37535
AA66939193,MGX160,EDDF,2017-08-17,10:25:47,37547
AA66955831,RYR95FH,EDDF,2017-08-17,10:27:17,37637
AA66948064,CFG5HC,EDDF,2017-08-17,10:28:04,37684
AA66958995,DLH8V,EDDF,2017-08-17,10:29:56,37796
AA66958487,DLH53C,EDDF,2017-08-17,10:31:52,37912
AA66950755,CFG6PM,EDDF,2017-08-17,10:33:21,38001
AA66959945,DLH1RJ,EDDF,2017-08-17,10:34:00,38040
AA66959372,DLH5J,EDDF,2017-08-17,10:35:52,38152
AA66960394,THY6DS,EDDF,2017-08-17,10:40:20,38420
AA66954893,ICE520,EDDF,2017-08-17,10:41:58,38518
AA66959962,DLH1P,EDDF,2017-08-17,10:44:40,38680
AA66959672,QTR8221,EDDF,2017-08-17,10:48:02,38882
AA66940673,MGL137,EDDF,2017-08-17,10:49:12,38952
AA66951640,CFG9FM,EDDF,2017-08-17,10:51:14,39074
AA66960337,DLH3LX,EDDF,2017-08-17,10:51:39,39099
AA66954669,AUI401,EDDF,2017-08-17,10:51:56,39116
AA66945939,DLH363,EDDF,2017-08-17,10:53:32,39212
AA66967825,DLH9921,EDDF,2017-08-17,10:54:37,39277
AA66960318,DLH9KC,EDDF,2017-08-17,10:56:26,39386
AA66952326,GEC8415,EDDF,2017-08-17,10:57:51,39471
AA66954061,DLH485,EDDF,2017-08-17,10:58:33,39513
AA66963622,BUC3BC,EDDF,2017-08-17,11:01:02,39662
AA66962446,MAC225,EDDF,2017-08-17,11:01:03,39663
AA66952933,UAE45,EDDF,2017-08-17,11:02:03,39723
AA66939972,SWR1072,EDDF,2017-08-17,11:05:59,39959
AA66959509,DLH9U,EDDF,2017-08-17,11:07:20,40040
AA66960343,DLH7JT,EDDF,2017-08-17,11:18:15,40695
AA66952963,CFG207,EDDF,2017-08-17,11:20:13,40813
