aereo,ac_id,D,date,time,time_sec
AA66952898,CFG441,EDDF,2017-08-17,11:21:26,40886
AA66958193,DLH433,EDDF,2017-08-17,11:22:37,40957
AA66954157,CFG067,EDDF,2017-08-17,11:24:23,41063
AA66959619,RZO560,EDDF,2017-08-17,11:26:31,41191
AA66942735,AFR12RD,EDDF,2017-08-17,11:27:25,41245
AA66957474,GEC8369,EDDF,2017-08-17,11:30:10,41410
AA66967142,TAR744,EDDF,2017-08-17,11:33:36,41616
AA66961359,DLH4PF,EDDF,2017-08-17,11:34:12,41652
AA66956077,BAW904N,EDDF,2017-08-17,11:36:53,41813
AA66956494,QTR21GC,EDDF,2017-08-17,11:37:46,41866
AA66955455,CFG2LW,EDDF,2017-08-17,11:39:13,41953
AA66960446,RJA125,EDDF,2017-08-17,11:41:36,42096
AA66963232,KLM13S,EDDF,2017-08-17,11:42:52,42172
AA66966716,SXS73C,EDDF,2017-08-17,11:44:50,42290
AA66946762,TCICT,EDDF,2017-08-17,11:47:12,42432
AA66948682,CFG455,EDDF,2017-08-17,11:48:13,42493
AA66958824,BER95VD,EDDF,2017-08-17,11:48:58,42538
AA66950520,WZZ6JG,EDDF,2017-08-17,11:52:01,42721
AA66946054,DLH3W,EDDF,2017-08-17,11:55:18,42918
AA66958918,RYR41XJ,EDDF,2017-08-17,11:56:40,43000
AA66961434,AZA408,EDDF,2017-08-17,11:57:51,43071
AA66961739,DLH1EK,EDDF,2017-08-17,11:58:56,43136
AA66959646,ETD7,EDDF,2017-08-17,12:00:57,43257
AA66952252,CFG185,EDDF,2017-08-17,12:01:52,43312
AA66961589,DLH273,EDDF,2017-08-17,12:03:42,43422
AA66953053,DLH501,EDDF,2017-08-17,12:06:16,43576
AA66962822,THY7RB,EDDF,2017-08-17,12:09:30,43770
AA66940749,BMR25BF,EDDF,2017-08-17,12:11:21,43881
AA66967483,PGT56B,EDDF,2017-08-17,12:11:38,43898
AA66953853,DLH499,EDDF,2017-08-17,12:13:20,44000
AA66964156,AFR176W,EDDF,2017-08-17,12:15:08,44108
AA66968406,CTN404L,EDDF,2017-08-17,12:16:40,44200
AA66966499,BCS6717,EDDF,2017-08-17,12:21:02,44462
AA66948560,DLH721,EDDF,2017-08-17,12:23:21,44601
AA66961486,MSR785,EDDF,2017-08-17,12:26:27,44787
AA66962853,DLH167,EDDF,2017-08-17,12:28:27,44907
AA66949440,VVV151,EDDF,2017-08-17,12:29:12,44952
AA66956134,TAM8070,EDDF,2017-08-17,12:29:25,44965
AA66957506,UAL926,EDDF,2017-08-17,12:30:29,45029
AA66958159,SVA179,EDDF,2017-08-17,12:32:08,45128
AA66927085,ADR112,EDDF,2017-08-17,12:33:47,45227
AA66961455,DLH2KV,EDDF,2017-08-17,12:33:53,45233
AA66927135,ADR79F,EDDF,2017-08-17,12:36:24,45384
AA66962300,DLH9MA,EDDF,2017-08-17,12:38:54,45534
AA66973183,GLJ94UC,EDDF,2017-08-17,12:38:57,45537
AA66960992,DLH7H,EDDF,2017-08-17,12:41:36,45696
AA66954980,DLH451,EDDF,2017-08-17,12:42:24,45744
AA66961718,DLH803,EDDF,2017-08-17,12:42:49,45769
AA66953141,DLH741,EDDF,2017-08-17,12:46:10,45970
AA66955856,IAW235,EDDF,2017-08-17,12:46:12,45972
AA66953743,DLH543,EDDF,2017-08-17,12:49:59,46199
AA66962328,DLH3FM,EDDF,2017-08-17,12:52:43,46363
AA66960072,QTR8223,EDDF,2017-08-17,12:53:11,46391
AA66963049,DLH6AF,EDDF,2017-08-17,12:54:20,46460
AA66963043,DLH1WU,EDDF,2017-08-17,12:55:56,46556
AA66961649,DLH85E,EDDF,2017-08-17,12:56:23,46583
AA66952987,GEC8401,EDDF,2017-08-17,12:57:08,46628
AA66971305,KAL535,EDDF,2017-08-17,12:58:51,46731
AA66961458,DLH881,EDDF,2017-08-17,13:01:51,46911
AA66963621,DLH8UV,EDDF,2017-08-17,13:02:21,46941
AA66961810,DLH891,EDDF,2017-08-17,13:04:41,47081
AA66962243,DLH2LC,EDDF,2017-08-17,13:05:10,47110
AA66952807,DLH737,EDDF,2017-08-17,13:06:56,47216
AA66962319,DLH887,EDDF,2017-08-17,13:07:22,47242
AA66961476,DLH68P,EDDF,2017-08-17,13:09:49,47389
AA66962073,DLH5YX,EDDF,2017-08-17,13:09:58,47398
AA66963299,DLH5P,EDDF,2017-08-17,13:12:22,47542
AA66963050,DLH3K,EDDF,2017-08-17,13:12:24,47544
AA66963641,DLH3YA,EDDF,2017-08-17,13:14:10,47650
AA66962288,DLH3EV,EDDF,2017-08-17,13:14:40,47680
AA66962488,DLH5KW,EDDF,2017-08-17,13:15:41,47741
AA66961843,DLH09P,EDDF,2017-08-17,13:16:28,47788
AA66961605,DLH4XV,EDDF,2017-08-17,13:17:09,47829
AA66962108,DLH7HP,EDDF,2017-08-17,13:18:22,47902
AA66946822,DLH4PL,EDDF,2017-08-17,13:18:43,47923
AA66961564,DLH9LX,EDDF,2017-08-17,13:20:09,48009
AA66947022,DLH6RK,EDDF,2017-08-17,13:20:39,48039
AA66963879,DLH2EN,EDDF,2017-08-17,13:21:41,48101
AA66963202,DLH839,EDDF,2017-08-17,13:22:46,48166
AA66962087,DLH65N,EDDF,2017-08-17,13:23:06,48186
AA66962645,DLH963,EDDF,2017-08-17,13:24:04,48244
AA66963260,DLH8CJ,EDDF,2017-08-17,13:25:11,48311
AA66963170,DLH1V,EDDF,2017-08-17,13:25:59,48359
AA66963851,DLH9C,EDDF,2017-08-17,13:26:46,48406
AA66962097,DLH67Y,EDDF,2017-08-17,13:27:51,48471
AA66954419,AUA283,EDDF,2017-08-17,13:28:42,48522
AA66961481,DLH52A,EDDF,2017-08-17,13:29:36,48576
AA66947039,DLH4CH,EDDF,2017-08-17,13:30:29,48629
AA66961667,UAE9933,EDDF,2017-08-17,13:31:41,48701
AA66962189,DLH58F,EDDF,2017-08-17,13:34:43,48883
AA66948553,DLH4TU,EDDF,2017-08-17,13:35:01,48901
AA66947027,DLH8AH,EDDF,2017-08-17,13:35:46,48946
AA66954536,AUA265,EDDF,2017-08-17,13:37:48,49068
AA66963978,DLH4WY,EDDF,2017-08-17,13:38:39,49119
AA66946907,DLH1425,EDDF,2017-08-17,13:39:11,49151
AA66964081,DLH057,EDDF,2017-08-17,13:40:23,49223
AA66947384,DLH66J,EDDF,2017-08-17,13:40:40,49240
AA66962377,DLH01J,EDDF,2017-08-17,13:41:57,49317
AA66947019,DLH7EM,EDDF,2017-08-17,13:42:17,49337
AA66946516,DCAPB,EDDF,2017-08-17,13:44:31,49471
AA66964065,DLH2J,EDDF,2017-08-17,13:44:33,49473
AA66947065,DLH4RM,EDDF,2017-08-17,13:46:30,49590
AA66954635,AUA255,EDDF,2017-08-17,13:47:32,49652
AA66947628,DLH375,EDDF,2017-08-17,13:47:40,49660
AA66947055,DLH6VT,EDDF,2017-08-17,13:49:47,49787
AA66963959,DLH327,EDDF,2017-08-17,13:51:43,49903
AA66945315,DLH979,EDDF,2017-08-17,13:52:50,49970
AA66962218,DLH1491,EDDF,2017-08-17,13:53:16,49996
AA66964595,DLH9W,EDDF,2017-08-17,13:55:29,50129
AA66964722,DLH163,EDDF,2017-08-17,13:56:33,50193
AA66961042,DLH9EJ,EDDF,2017-08-17,13:57:10,50230
AA66947113,DLH6MC,EDDF,2017-08-17,13:58:26,50306
AA66947531,DLH2HU,EDDF,2017-08-17,13:58:33,50313
AA66955479,CFG7AM,EDDF,2017-08-17,14:00:01,50401
AA66947634,DLH3RP,EDDF,2017-08-17,14:00:33,50433
AA66964312,DLH111,EDDF,2017-08-17,14:01:53,50513
AA66947072,DLH3HT,EDDF,2017-08-17,14:02:31,50551
AA66947742,DLH4K,EDDF,2017-08-17,14:03:30,50610
AA66963955,DLH51P,EDDF,2017-08-17,14:03:58,50638
AA66958630,JAL407,EDDF,2017-08-17,14:04:35,50675
AA66963721,DLH5HR,EDDF,2017-08-17,14:05:29,50729
AA66956942,ANA223,EDDF,2017-08-17,14:06:36,50796
AA66963631,DLH955,EDDF,2017-08-17,14:07:03,50823
AA66963900,DLH18Y,EDDF,2017-08-17,14:08:33,50913
AA66964344,DLH4JA,EDDF,2017-08-17,14:09:27,50967
AA66963870,DLH2KY,EDDF,2017-08-17,14:09:55,50995
AA66964295,DLH1A,EDDF,2017-08-17,14:11:12,51072
AA66961208,DLH1445,EDDF,2017-08-17,14:12:46,51166
AA66964207,DLH9KA,EDDF,2017-08-17,14:13:05,51185
AA66964060,DLH1433,EDDF,2017-08-17,14:14:04,51244
AA66963618,DLH5U,EDDF,2017-08-17,14:14:55,51295
AA66962281,DLH7KV,EDDF,2017-08-17,14:16:08,51368
AA66960568,BAW908N,EDDF,2017-08-17,14:18:28,51508
AA66961640,DLH1299,EDDF,2017-08-17,14:19:43,51583
AA66970349,RAM810D,EDDF,2017-08-17,14:21:14,51674
AA66972112,CLU465,EDDF,2017-08-17,14:23:41,51821
AA66961626,DLH92T,EDDF,2017-08-17,14:25:48,51948
AA66955610,AUA131F,EDDF,2017-08-17,14:27:44,52064
AA66964856,SAS93M,EDDF,2017-08-17,14:29:10,52150
AA66964301,DLH86N,EDDF,2017-08-17,14:30:31,52231
AA66962298,DLH5EL,EDDF,2017-08-17,14:31:47,52307
AA66965693,DLH8LA,EDDF,2017-08-17,14:33:27,52407
AA66964018,DLH71F,EDDF,2017-08-17,14:33:31,52411
AA66963943,SAS637,EDDF,2017-08-17,14:35:12,52512
AA66944326,SWR107V,EDDF,2017-08-17,14:35:23,52523
AA66974681,NLY132P,EDDF,2017-08-17,14:37:01,52621
AA66965751,CTN412,EDDF,2017-08-17,14:39:00,52740
AA66957892,AAR541,EDDF,2017-08-17,14:41:38,52898
AA66963181,SVA929,EDDF,2017-08-17,14:43:39,53019
AA66964303,DLH235,EDDF,2017-08-17,14:47:13,53233
AA66962061,CFE7VR,EDDF,2017-08-17,14:50:00,53400
AA66964652,GEC8189,EDDF,2017-08-17,14:57:25,53845
AA66961862,UAE9977,EDDF,2017-08-17,15:03:09,54189
AA66964629,DLH8ER,EDDF,2017-08-17,15:09:13,54553
AA66969828,ROT305,EDDF,2017-08-17,15:11:44,54704
AA66963534,DLH1163,EDDF,2017-08-17,15:13:50,54830
AA66946111,LAN704,EDDF,2017-08-17,15:15:40,54940
AA66965157,AZA6BF,EDDF,2017-08-17,15:18:21,55101
AA66958668,CFG095,EDDF,2017-08-17,15:20:59,55259
AA66967282,DLH2RK,EDDF,2017-08-17,15:32:59,55979
AA66966817,DLH1U,EDDF,2017-08-17,15:36:06,56166
AA66967979,SXS1,EDDF,2017-08-17,15:37:38,56258
AA66972758,AFL2302,EDDF,2017-08-17,15:39:37,56377
AA66954762,AEE530,EDDF,2017-08-17,15:40:31,56431
AA66939642,IJM038,EDDF,2017-08-17,15:42:04,56524
AA66953038,BTI6JK,EDDF,2017-08-17,15:42:19,56539
AA66967957,DLH2HX,EDDF,2017-08-17,15:43:47,56627
AA66965723,DLH51J,EDDF,2017-08-17,15:46:17,56777
AA66970491,KLM1769,EDDF,2017-08-17,15:47:00,56820
AA66955747,KAL905,EDDF,2017-08-17,15:48:16,56896
AA66964562,AEA1509,EDDF,2017-08-17,15:50:49,57049
AA66944827,BMR1917,EDDF,2017-08-17,15:51:20,57080
AA66957922,CCA935,EDDF,2017-08-17,15:53:01,57181
AA66974596,THY7YD,EDDF,2017-08-17,15:54:06,57246
AA66972835,IBE31FF,EDDF,2017-08-17,15:55:17,57317
AA66948747,DLH2W,EDDF,2017-08-17,15:56:07,57367
AA66968021,DLH8HR,EDDF,2017-08-17,15:57:53,57473
AA66962145,CCA931,EDDF,2017-08-17,15:58:36,57516
AA66966375,DLH9PF,EDDF,2017-08-17,16:02:31,57751
AA66979146,MMD605,EDDF,2017-08-17,16:06:40,58000
AA66967065,KZR921,EDDF,2017-08-17,16:08:51,58131
AA66967864,ELY355,EDDF,2017-08-17,16:11:01,58261
AA66959199,AUA125F,EDDF,2017-08-17,16:18:28,58708
AA66966135,SXD3QR,EDDF,2017-08-17,16:20:34,58834
AA66968682,AZA410,EDDF,2017-08-17,16:22:59,58979
AA66963303,AIC121,EDDF,2017-08-17,16:23:15,58995
AA66969363,FIN825F,EDDF,2017-08-17,16:25:02,59102
AA66962420,TAP576,EDDF,2017-08-17,16:26:11,59171
AA66959963,DLH717,EDDF,2017-08-17,16:31:46,59506
AA66957435,SXD4840,EDDF,2017-08-17,16:34:53,59693
AA66969123,DLH7PH,EDDF,2017-08-17,16:37:00,59820
AA66967452,DLH47Y,EDDF,2017-08-17,16:40:54,60054
AA66969538,DLH5YF,EDDF,2017-08-17,16:41:59,60119
AA66967806,NLY791W,EDDF,2017-08-17,16:44:11,60251
AA66952463,DLH781,EDDF,2017-08-17,16:45:50,60350
AA66964789,BER6593,EDDF,2017-08-17,16:48:20,60500
AA66977587,ITOPH,EDDF,2017-08-17,16:50:43,60643
AA66960427,DLH713,EDDF,2017-08-17,16:51:27,60687
AA66975950,LOT379,EDDF,2017-08-17,16:53:14,60794
AA66980150,FDX3,EDDF,2017-08-17,16:54:11,60851
AA66951691,DLH787,EDDF,2017-08-17,16:54:54,60894
AA66946866,BMR827V,EDDF,2017-08-17,16:57:37,61057
AA66976142,DLH8YA,EDDF,2017-08-17,16:57:56,61076
AA66959979,THA922,EDDF,2017-08-17,16:58:13,61093
AA66969593,DLH5RM,EDDF,2017-08-17,16:59:04,61144
AA66963799,BAW912N,EDDF,2017-08-17,17:00:44,61244
AA66948814,DLH7MC,EDDF,2017-08-17,17:01:14,61274
AA66967985,SAS673,EDDF,2017-08-17,17:02:26,61346
AA66970301,PGT5491,EDDF,2017-08-17,17:02:57,61377
AA66962466,UAE47,EDDF,2017-08-17,17:04:22,61462
AA66967091,DLH7XV,EDDF,2017-08-17,17:05:52,61552
AA66972266,ASL90C,EDDF,2017-08-17,17:07:41,61661
AA66948959,DLH6VU,EDDF,2017-08-17,17:08:10,61690
AA66970544,DLH137,EDDF,2017-08-17,17:09:10,61750
AA66947221,DLH3VT,EDDF,2017-08-17,17:09:50,61790
AA66937456,ADR4K,EDDF,2017-08-17,17:09:58,61798
AA66969759,DLH6C,EDDF,2017-08-17,17:11:13,61873
AA66970720,DLH6TT,EDDF,2017-08-17,17:12:11,61931
AA66955019,AFR18MU,EDDF,2017-08-17,17:13:11,61991
AA66969831,DLH9V,EDDF,2017-08-17,17:14:01,62041
AA66948876,DLH397,EDDF,2017-08-17,17:14:44,62084
AA66977263,CSA536,EDDF,2017-08-17,17:15:58,62158
AA66968662,DLH4H,EDDF,2017-08-17,17:16:01,62161
AA66948839,DLH99F,EDDF,2017-08-17,17:17:01,62221
AA66971073,DLH3UW,EDDF,2017-08-17,17:19:01,62341
AA66970536,DLH4A,EDDF,2017-08-17,17:19:11,62351
AA66969994,DLH5PK,EDDF,2017-08-17,17:24:28,62668
AA66973084,DLH583,EDDF,2017-08-17,17:26:21,62781
AA66966989,DLH42K,EDDF,2017-08-17,17:28:28,62908
AA66968863,DLH897,EDDF,2017-08-17,17:28:47,62927
AA66969373,DLH8K,EDDF,2017-08-17,17:30:19,63019
AA66970182,DLH2F,EDDF,2017-08-17,17:30:57,63057
AA66948914,DLH1PL,EDDF,2017-08-17,17:32:07,63127
AA66968328,DLH34M,EDDF,2017-08-17,17:32:43,63163
AA66970912,DLH6MF,EDDF,2017-08-17,17:33:54,63234
AA66970309,SAS1635,EDDF,2017-08-17,17:35:16,63316
AA66968499,DLH46E,EDDF,2017-08-17,17:35:38,63338
AA66971072,DLH359,EDDF,2017-08-17,17:36:42,63402
AA66968562,DLH6KY,EDDF,2017-08-17,17:37:12,63432
AA66971274,DLH059,EDDF,2017-08-17,17:38:36,63516
AA66968217,DLH9CH,EDDF,2017-08-17,17:39:13,63553
AA66971426,DLH3P,EDDF,2017-08-17,17:39:51,63591
AA66976103,AAR793,EDDF,2017-08-17,17:40:50,63650
AA66970591,DLH8FP,EDDF,2017-08-17,17:42:31,63751
AA66967270,DLH41J,EDDF,2017-08-17,17:43:36,63816
AA66980820,JEI141,EDDF,2017-08-17,17:45:19,63919
AA66971091,DLH1UT,EDDF,2017-08-17,17:46:11,63971
AA66972945,DLH8W,EDDF,2017-08-17,17:47:56,64076
AA66967678,EIN65A,EDDF,2017-08-17,17:48:30,64110
AA66949291,DLH1YC,EDDF,2017-08-17,17:49:41,64181
AA66968210,DLH15E,EDDF,2017-08-17,17:50:49,64249
AA66968535,DLH2PH,EDDF,2017-08-17,17:51:50,64310
AA66965223,BAW914N,EDDF,2017-08-17,17:52:17,64337
AA66961875,AUA27G,EDDF,2017-08-17,17:54:13,64453
AA66948945,DLH1FR,EDDF,2017-08-17,17:54:58,64498
AA66965094,SWR1076,EDDF,2017-08-17,17:55:23,64523
AA66970562,DLH54U,EDDF,2017-08-17,17:57:30,64650
AA66961975,AUA269,EDDF,2017-08-17,17:58:47,64727
AA66971872,DLH9TW,EDDF,2017-08-17,18:00:08,64808
AA66971844,DLH9LL,EDDF,2017-08-17,18:00:31,64831
AA66961767,AUA257,EDDF,2017-08-17,18:02:38,64958
AA66974561,DLH687,EDDF,2017-08-17,18:03:22,65002
AA66949070,DLH265,EDDF,2017-08-17,18:04:32,65072
AA66972713,DLH857,EDDF,2017-08-17,18:04:43,65083
AA66973130,DLH7PT,EDDF,2017-08-17,18:06:15,65175
AA66972780,DLH6UX,EDDF,2017-08-17,18:06:41,65201
AA66970558,DLH8U,EDDF,2017-08-17,18:07:46,65266
AA66967693,HBVTJ,EDDF,2017-08-17,18:08:55,65335
AA66973068,DLH7F,EDDF,2017-08-17,18:09:28,65368
AA66967262,DLH1301,EDDF,2017-08-17,18:10:43,65443
AA66968204,DLH1437,EDDF,2017-08-17,18:10:56,65456
AA66969559,DLH1157,EDDF,2017-08-17,18:12:09,65529
AA66972875,DLH9ME,EDDF,2017-08-17,18:13:16,65596
AA66973968,DLH1307,EDDF,2017-08-17,18:13:42,65622
AA66970734,DLH6PJ,EDDF,2017-08-17,18:14:41,65681
AA66948963,DLH5NF,EDDF,2017-08-17,18:15:23,65723
AA66971753,DLH5HW,EDDF,2017-08-17,18:16:15,65775
AA66966095,CTN414,EDDF,2017-08-17,18:17:22,65842
AA66972946,DLH6V,EDDF,2017-08-17,18:18:15,65895
AA66969830,DLH3XY,EDDF,2017-08-17,18:19:09,65949
AA66973128,DLH2MJ,EDDF,2017-08-17,18:20:29,66029
AA66973080,DLH5XL,EDDF,2017-08-17,18:20:46,66046
AA66972838,DLH66A,EDDF,2017-08-17,18:22:08,66128
AA66973129,DLH7CM,EDDF,2017-08-17,18:22:24,66144
AA66962562,CFG4DE,EDDF,2017-08-17,18:24:17,66257
AA66972970,DLH947,EDDF,2017-08-17,18:24:20,66260
AA66971424,DLH3HV,EDDF,2017-08-17,18:26:35,66395
AA66968360,DLH8EL,EDDF,2017-08-17,18:26:56,66416
AA66972971,DLH7JH,EDDF,2017-08-17,18:28:37,66517
AA66967841,DLH1449,EDDF,2017-08-17,18:30:54,66654
AA66949770,DLH4PR,EDDF,2017-08-17,18:32:59,66779
AA66970578,DLH9YA,EDDF,2017-08-17,18:34:23,66863
AA66973280,DLH5A,EDDF,2017-08-17,18:36:05,66965
AA66948958,DLH77X,EDDF,2017-08-17,18:36:18,66978
AA66949671,DLH9K,EDDF,2017-08-17,18:37:40,67060
AA66973186,DLH819,EDDF,2017-08-17,18:39:44,67184
AA66976737,FDX36,EDDF,2017-08-17,18:40:00,67200
AA66973295,DLH4WL,EDDF,2017-08-17,18:42:05,67325
AA66973320,DLH8C,EDDF,2017-08-17,18:42:28,67348
AA66971382,DLH09F,EDDF,2017-08-17,18:44:21,67461
AA66968136,DLH883,EDDF,2017-08-17,18:44:36,67476
AA66971381,DLH3NE,EDDF,2017-08-17,18:45:41,67541
AA66972938,DLH55Y,EDDF,2017-08-17,18:46:52,67612
AA66952402,CFG7HW,EDDF,2017-08-17,18:48:47,67727
AA66972853,DLH21X,EDDF,2017-08-17,18:49:52,67792
AA66973340,DLH5RV,EDDF,2017-08-17,18:51:20,67880
AA66971295,DLH71A,EDDF,2017-08-17,18:53:09,67989
AA66978562,AFL2304,EDDF,2017-08-17,18:55:04,68104
AA66972994,DLH2TR,EDDF,2017-08-17,18:55:58,68158
AA66963259,SIA326,EDDF,2017-08-17,18:56:12,68172
AA66975116,THY9ZC,EDDF,2017-08-17,18:59:12,68352
AA66975303,CFG3YF,EDDF,2017-08-17,19:02:00,68520
AA66971332,DLH99H,EDDF,2017-08-17,19:02:47,68567
AA66973849,DLH3MF,EDDF,2017-08-17,19:04:19,68659
AA66972914,DLH2LA,EDDF,2017-08-17,19:06:00,68760
AA66973148,DLH1H,EDDF,2017-08-17,19:07:22,68842
AA66971370,DLH4CK,EDDF,2017-08-17,19:09:54,68994
AA66963190,N1454H,EDDF,2017-08-17,19:12:53,69173
AA66963331,AUA127F,EDDF,2017-08-17,19:22:53,69773
AA66968996,CFE35Q,EDDF,2017-08-17,19:25:18,69918
AA66969998,ICE524,EDDF,2017-08-17,19:28:01,70081
AA66965505,CFG9VA,EDDF,2017-08-17,19:31:10,70270
AA66950050,DLH937,EDDF,2017-08-17,19:31:45,70305
AA66966488,NLY8KR,EDDF,2017-08-17,19:37:24,70644
AA66975043,DLH3TX,EDDF,2017-08-17,19:40:46,70846
AA66968142,TAP572C,EDDF,2017-08-17,19:43:25,71005
AA66976936,KLM1775,EDDF,2017-08-17,19:45:41,71141
AA66974712,DLH6PH,EDDF,2017-08-17,19:48:05,71285
AA66943529,CFG1551,EDDF,2017-08-17,19:50:31,71431
AA66974280,DLH3H,EDDF,2017-08-17,19:52:31,71551
AA66970008,BAW916N,EDDF,2017-08-17,19:59:26,71966
AA66978370,LOT383,EDDF,2017-08-17,20:02:25,72145
AA66969395,RYR12PY,EDDF,2017-08-17,20:03:51,72231
AA66955119,AFR10XE,EDDF,2017-08-17,20:10:09,72609
AA66964520,CFG143,EDDF,2017-08-17,20:19:43,73183
AA66970360,RYR671Z,EDDF,2017-08-17,20:22:34,73354
AA66967819,GEC8223,EDDF,2017-08-17,20:23:51,73431
AA66978960,IBE31SB,EDDF,2017-08-17,20:27:49,73669
AA66970863,TUI81M,EDDF,2017-08-17,20:28:40,73720
AA66973918,TUI2XD,EDDF,2017-08-17,20:31:14,73874
AA66973544,NLY7Y,EDDF,2017-08-17,20:32:46,73966
AA66964755,CFG6ED,EDDF,2017-08-17,20:34:46,74086
AA66952608,DLH729,EDDF,2017-08-17,20:38:15,74295
AA66956752,TUI1TK,EDDF,2017-08-17,20:41:18,74478
AA66964579,CFG4PH,EDDF,2017-08-17,20:44:01,74641
AA66960552,TUI9CK,EDDF,2017-08-17,20:46:34,74794
AA66966931,CFG031,EDDF,2017-08-17,20:49:46,74986
AA66973995,BER6601,EDDF,2017-08-17,20:52:21,75141
AA66969331,CFG9EF,EDDF,2017-08-17,20:55:40,75340
